alpha,b_size,layer_size,lr,num_layer,result
-6.1977940530761195,310,34,-5.749902654562446,14, 0.5230769230769231
-3.126625913984175,410,48,-1.1030127910012606,2, 0.02657342657342656
-1.8746019604413071,70,98,-6.993971639112861,7, 0.42237762237762244
-5.594680529276661,340,24,-2.191623414788472,4, 0.023776223776223772
-1.2768869528953166,330,98,-1.9220057337280059,6, 0.029370629370629377
-6.644409098284511,340.0,28.0,-6.933757620894042,5.0, 0.5916083916083916
-5.798816842124733,340.0,24.0,-1.9065591894194889,4.0, 0.040559440559440565
-2.7045893899119413,390,25,-3.2234130719889738,11, 0.03076923076923077
-3.917205733986327,340.0,23.0,-2.353601792020136,4.0, 0.030769230769230792
-4.3371871267849,460,75,-3.60760118682024,13, 0.029370629370629377
-4.359443947848101,410.0,45.0,-2.2335006392393177,3.0, 0.02657342657342654
-5.558500419936767,340.0,22.0,-3.512220259494484,2.0, 0.026573426573426585
-2.868304554218956,410.0,47.0,-4.745665164581655,2.0, 0.06993006993006994
-4.648896343610952,310,66,-5.5763192810107265,5, 0.22517482517482518
-4.807422619948084,150,39,-3.9754715218934558,16, 0.03076923076923077
-4.517568914278704,460.0,79.0,-6.0635304046551095,11.0, 0.509090909090909
-4.855800849826138,410.0,48.0,-1.9544286592133846,5.0, 0.025174825174825187
-6.314492804932164,460.0,70.0,-3.3656170918033412,10.0, 0.027972027972027958
-2.7357172602499147,330.0,98.0,-4.1957728984233,6.0, 0.027972027972027958
-4.23777468550242,460.0,73.0,-2.2540712664716116,14.0, 0.03496503496503496
-4.411124570502338,460.0,72.0,-2.170329125320554,14.0, 0.03356643356643359
-4.61742745881114,460.0,72.0,-2.452495904440813,13.0, 0.02517482517482521
-2.268041279784997,410.0,48.0,-4.443602126474941,5.0, 0.040559440559440565
-7.0,410.0,47.0,-1.0,2.0, 0.047552447552447565
-6.1272975660189966,460.0,70.0,-6.719583321347718,15.0, 0.4335664335664336
-1.0,410.0,46.0,-1.0,6.0, 0.07552447552447554
-3.937875529232106,460.0,71.0,-1.0,9.0, 0.32167832167832167
-2.9275258963395316,330.0,94.0,-2.672338007205213,1.0, 0.019580419580419606
-3.9537095810079492,460.0,71.0,-1.0,9.0, 0.37482517482517486
-2.76976221171976,330.0,95.0,-2.6493800589928234,3.0, 0.03076923076923077
-2.8678242067397277,330.0,98.0,-2.592571928002218,2.0, 0.029370629370629377
-3.342934145281886,150.0,34.0,-2.061933267259867,11.0, 0.03916083916083914
-1.0,330.0,96.0,-6.57806226621464,1.0, 0.606993006993007
-3.154613878019614,410.0,52.0,-1.9625294841131522,4.0, 0.016783216783216794
