alpha,b_size,layer_size,lr,num_layer,result
-1.7567491714191235,460,42,-6.315388994182879,10, 0.6433566433566433
-2.1484168978059124,90,70,-6.328528304799622,10, 0.3496503496503497
-3.141761519961875,420,60,-2.910118089830271,8, 0.020979020979020935
-6.255219427111199,340,76,-6.275309711050703,9, 0.35664335664335667
-4.087542748436561,280,39,-3.167239452718468,5, 0.027972027972028024
-6.266928433564263,60,96,-1.0880074909616901,12, 0.3706293706293706
-3.141761519905631,420.0,60.0,-2.910118089977889,8.0, 0.07692307692307687
-2.6002984161651383,160,41,-2.450315102518874,18, 0.0
-4.194919805777291,420,51,-1.0068546138012524,18, 0.35664335664335667
-5.948413973444526,420.0,61.0,-2.0120249958367635,6.0, 0.027972027972028024
-4.235628288773104,280.0,39.0,-3.219839446094685,5.0, 0.020979020979020935
-1.0728740279297135,160,41,-4.759773458127311,1, 0.11188811188811187
-5.174550855141954,320,41,-5.006477530988883,11, 0.3846153846153846
-1.3044553889694097,420.0,68.0,-4.680911254865706,1.0, 0.15384615384615385
-2.6003971217306012,160.0,41.0,-2.449425400232181,18.0, 0.013986013986013957
-1.057168941637355,420.0,69.0,-4.84453504981807,1.0, 0.35664335664335667
-2.549474407798711,160.0,41.0,-2.5270780679707685,17.0, 0.020979020979020935
-4.7604590724344895,420.0,61.0,-2.3921423907105566,7.0, 0.04895104895104896
-3.1282268556516195,410,56,-1.6432564262734108,18, 0.14685314685314688
-2.587039340988984,160.0,41.0,-2.4717068391967265,18.0, 0.013986013986013957
-4.956619115306321,280.0,39.0,-3.475935025254551,5.0, 0.034965034965035
-5.143076507034027,360,24,-3.964414465855467,15, 0.04895104895104896
-4.606917132885337,160.0,41.0,-1.0,18.0, 0.30069930069930073
-2.3134099380132516,160.0,41.0,-2.6586682046215833,18.0, 0.020979020979020935
-3.530722941320697,490,85,-1.6491245877040654,3, 0.04195804195804198
-4.970717967387663,420.0,59.0,-2.336636031305776,6.0, 0.034965034965035
-2.3880539911204104,160.0,41.0,-4.4219420854796345,18.0, 0.04195804195804198
-2.458670747096765,160.0,41.0,-2.5571645601323287,18.0, 0.013986013986013957
-3.5980303714342,490,73,-4.07888566541241,19, 0.04195804195804198
-1.9866812901975504,420.0,65.0,-4.233152279417687,1.0, 0.027972027972028024
-1.5873721873584128,100,34,-5.384638544413437,13, 0.39160839160839156
-1.7702704239894205,420.0,66.0,-4.373622074956332,1.0, 0.09790209790209792
-4.042628200143475,420.0,61.0,-3.0277480782343913,4.0, 0.020979020979020935
-6.897203601391028,450,98,-3.599343957362742,2, 0.013986013986013957
-4.036708135831389,280.0,39.0,-3.793764477611864,4.0, 0.027972027972028024
-1.7504748063746942,390,82,-3.793851491641797,16, 0.020979020979020935
-6.889497235749837,450,98,-5.926812047217413,2, 0.2797202797202797
-2.260056904525543,420.0,64.0,-4.061839558678296,1.0, 0.05594405594405594
-4.757363254590303,420.0,61.0,-2.61448446226819,5.0, 0.020979020979020935
-2.6907502602715105,420.0,63.0,-3.7976683822198667,2.0, 0.027972027972028024
-2.770838836373068,400,23,-1.47034937506504,14, 0.034965034965035
-6.905985791252756,450.0,98.0,-1.0,2.0, 0.020979020979020935
-5.813055171637176,420.0,61.0,-4.6793957172791245,5.0, 0.07692307692307687
-3.6044815972305724,310,80,-1.9521520134959722,9, 0.027972027972028024
-3.4230346309478903,420.0,63.0,-3.474299595579831,4.0, 0.013986013986013957
-3.037619141214144,330,45,-6.586832367862425,12, 0.32867132867132864
-4.097601665002822,310.0,80.0,-2.276054178385628,11.0, 0.006993006993006978
-4.026428197555588,310.0,79.0,-2.351892418113641,11.0, 0.020979020979020935
-5.510194598636964,70,80,-1.9306920020971496,11, 0.013986013986013957
-6.020250887260655,70.0,75.0,-1.0389906180280455,11.0, 0.35664335664335667
-5.384432125619905,70.0,81.0,-2.150234988152888,11.0, 0.034965034965035
-3.7997619117325643,300,90,-1.3427677317858202,10, 0.2517482517482518
-1.3500326798500264,390.0,84.0,-6.587940491965634,19.0, 0.6153846153846154
-1.842443289029003,390.0,82.0,-3.1521210335248657,15.0, 0.013986013986013957
